01000,01000,PRIM TB COMPLEX-UNSPEC,PRIM TB COMPLEX-UNSPEC,PRIM TB COMPLEX-UNSPEC,2009-04-08,2009-04-08,0,0,0,1
01001,01001,PRIM TB COMPLEX-NO EXAM,PRIM TB COMPLEX-NO EXAM,PRIM TB COMPLEX-NO EXAM,2009-04-08,2009-04-08,0,0,0,2
01002,01002,PRIM TB COMPLEX-EXM UNKN,PRIM TB COMPLEX-EXM UNKN,PRIM TB COMPLEX-EXM UNKN,2009-04-08,2009-04-08,0,0,0,3
01003,01003,PRIM TB COMPLEX-MICRO DX,PRIM TB COMPLEX-MICRO DX,PRIM TB COMPLEX-MICRO DX,2009-04-08,2009-04-08,0,0,0,4
01004,01004,PRIM TB COMPLEX-CULT DX,PRIM TB COMPLEX-CULT DX,PRIM TB COMPLEX-CULT DX,2009-04-08,2009-04-08,0,0,0,5
01005,01005,PRIM TB COMPLEX-HISTO DX,PRIM TB COMPLEX-HISTO DX,PRIM TB COMPLEX-HISTO DX,2009-04-08,2009-04-08,0,0,0,6
01006,01006,PRIM TB COMPLEX-OTH TEST,PRIM TB COMPLEX-OTH TEST,PRIM TB COMPLEX-OTH TEST,2009-04-08,2009-04-08,0,0,0,7
01010,01010,PRIM TB PLEURISY-UNSPEC,PRIM TB PLEURISY-UNSPEC,PRIM TB PLEURISY-UNSPEC,2009-04-08,2009-04-08,0,0,0,8
01011,01011,PRIM TB PLEURISY-NO EXAM,PRIM TB PLEURISY-NO EXAM,PRIM TB PLEURISY-NO EXAM,2009-04-08,2009-04-08,0,0,0,9
01012,01012,PRIM TB PLEUR-EXAM UNKN,PRIM TB PLEUR-EXAM UNKN,PRIM TB PLEUR-EXAM UNKN,2009-04-08,2009-04-08,0,0,0,10
01013,01013,PRIM TB PLEURIS-MICRO DX,PRIM TB PLEURIS-MICRO DX,PRIM TB PLEURIS-MICRO DX,2009-04-08,2009-04-08,0,0,0,11
01014,01014,PRIM TB PLEURISY-CULT DX,PRIM TB PLEURISY-CULT DX,PRIM TB PLEURISY-CULT DX,2009-04-08,2009-04-08,0,0,0,12
01015,01015,PRIM TB PLEURIS-HISTO DX,PRIM TB PLEURIS-HISTO DX,PRIM TB PLEURIS-HISTO DX,2009-04-08,2009-04-08,0,0,0,13
01016,01016,PRIM TB PLEURIS-OTH TEST,PRIM TB PLEURIS-OTH TEST,PRIM TB PLEURIS-OTH TEST,2009-04-08,2009-04-08,0,0,0,14
01080,01080,PRIM PROG TB NEC-UNSPEC,PRIM PROG TB NEC-UNSPEC,PRIM PROG TB NEC-UNSPEC,2009-04-08,2009-04-08,0,0,0,15
01081,01081,PRIM PROG TB NEC-NO EXAM,PRIM PROG TB NEC-NO EXAM,PRIM PROG TB NEC-NO EXAM,2009-04-08,2009-04-08,0,0,0,16
01082,01082,PRIM PR TB NEC-EXAM UNKN,PRIM PR TB NEC-EXAM UNKN,PRIM PR TB NEC-EXAM UNKN,2009-04-08,2009-04-08,0,0,0,17
01083,01083,PRIM PRG TB NEC-MICRO DX,PRIM PRG TB NEC-MICRO DX,PRIM PRG TB NEC-MICRO DX,2009-04-08,2009-04-08,0,0,0,18
