"11","250","MG","CYCLOSERINE"
"33","80","MG","QUINIDINE GLUCONATE"
"48","0","NS","CAPREOMYCIN SULFATE"
"158","5","MG","SOMATROPIN"
"165","100","UNT","INSULIN BEEF/PORK"
"168","100","MG","INSULIN RECOMBINANT HUMAN"
"173","100","MG","INSULIN HUMAN"
"173","100","UNT","INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN"
"175","100","UNT","INSULIN ZINC SUSP"
"186","30","UNT","INSULIN HUMAN"
"186","30","%WW","INSULIN HUMAN"
"186","70","UNT","INSULIN SUSP ISOPHANE"
"186","70","%WW","INSULIN SUSP ISOPHANE"
"199","","NS","AMOXICILLIN"
"200","","NS","AMOXICILLIN"
"202","250","MG","CEPHRADINE"
"203","500","MG","CEPHRADINE"
"204","","NS","PENICILLIN V POTASSIUM"
"205","","NS","PENICILLIN V POTASSIUM"
"207","","NS","AMPICILLIN TRIHYDRATE"
"213","0.25","MG","TRIAMCINOLONE ACETONIDE"
"216","40","MG","NADOLOL"
"217","120","MG","NADOLOL"
"219","20","MG","NADOLOL"
"220","80","MG","NADOLOL"
"221","160","MG","NADOLOL"
"222","1","MG","HALCINONIDE"
"223","1","MG","HALCINONIDE"
"224","40","MG","ESTRADIOL VALERATE"
"226","5","MG","BENDROFLUMETHIAZIDE"
"226","40","MG","NADOLOL"
"227","5","MG","BENDROFLUMETHIAZIDE"
"227","80","MG","NADOLOL"
"228","40","MG","TRIAMCINOLONE ACETONIDE"
"234","10","MG","ESTRADIOL VALERATE"
"236","25","MG","CAPTOPRIL"
"236","15","MG","HYDROCHLOROTHIAZIDE"
"237","20","MG","ESTRADIOL VALERATE"
"238","25","MG","CAPTOPRIL"
"238","25","MG","HYDROCHLOROTHIAZIDE"
"240","15","MG","HYDROCHLOROTHIAZIDE"
"240","50","MG","CAPTOPRIL"
"242","50","MG","CAPTOPRIL"
"242","25","MG","HYDROCHLOROTHIAZIDE"
"244","3","%WW","AMPHOTERICIN B"
"245","3","%WV","AMPHOTERICIN B"
"248","0.1","MG","FLUDROCORTISONE ACETATE"
"248","0.1","MG","FLUDROCORTISONE ACETATE"
"249","250","MG","PROCAINAMIDE HYDROCHLORIDE"
"250","375","MG","PROCAINAMIDE HYDROCHLORIDE"
"251","50","MG","AMPHOTERICIN B"
"254","12.5","MG","CAPTOPRIL"
"255","25","MG","CAPTOPRIL"
"260","1","MG","TRIAMCINOLONE ACETONIDE"
"260","100000","UNT","NYSTATIN"
"261","50","MG","CAPTOPRIL"
"262","100","MG","CAPTOPRIL"
"263","10","MG","TRIAMCINOLONE ACETONIDE"
"265","1","MG","TRIAMCINOLONE ACETONIDE"
"266","0.147","MG","TRIAMCINOLONE ACETONIDE"
"267","1","MG","TRIAMCINOLONE ACETONIDE"
"268","1","MG","TRIAMCINOLONE ACETONIDE"
"269","1","MG","TRIAMCINOLONE ACETONIDE"
"275","8333","UNT","VITAMIN A ACETATE"
"275","50","MCG","CYANOCOBALAMIN"
"275","41.7","MG","MAGNESIUM CARBONATE"
"275","33.3","MG","NIACINAMIDE"
"275","113","MG","SODIUM ASCORBATE"
"275","3.3","MG","PYRIDOXINE HYDROCHLORIDE"
"275","5","MG","VITAMIN E ACETATE"
"275","0.33","MG","FOLIC ACID"
"275","3.3","MG","THIAMINE MONONITRATE"
"275","3.3","MCG","ERGOCALCIFEROL"
